Timestamp,Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,Think about a time when you felt particularly connected to the community or proud to live in Grinnell. Tell us.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?",What aspects of the Grinnell community (positive or negative) do people NOT talk about?,Are there questions we’re not asking that you think we should? Is there anything that you would like to share that you have not?,,Do you live in the city of Grinnell?,"If you are a student, please tell us where"
1/5/23 14:56,196,"A pleasant community, nice neighbors","Excellent college in town, good school district, decent entertainment options for small community.",When my neighbors welcomed us to the community and seemed to do the same for other new neighbors.,,"I think Grinnell aspires to be a community that is affordable, entertaining, and welcoming","While not as severe as other small rural communities in Iowa, I was surprised that the community does not seem to appreciate or embrace diversity among its citizens.",,I have never seriously considered leaving Grinnell as I just moved here in 2020,The sometimes unaccepting local community members that do not like the College-affiliated community members and/or students.,"It would be wonderful to have more restaurant options, however I recognize that a small town can only feasibly support so many. So I'm not sure how realistic that is. ","More restaurant and entertainment options, retail stores (particularly for adult clothing), more child care options, taxi/ride share service. ",I currently live in Grinnell,Work for Grinnell College,"The fantastic farmer's market, several wonderful bars, great state-of-the-art aquatic center, beautiful college facilities that are available to the public.",,,,
1/5/23 15:57,197,"Slower pace, no traffic","See previous answer - slow pace, no traffic",I have found it difficult to connect with community members,,I'm not sure,Employment,,The remote location makes it very difficult to access healthcare and services.,"1) The water (seriously, what is wrong with it and how to I keep from destroying my fixtures and appliances?!) 2) Lack of recycling, yard waste pick up (leaves are picked up BEFORE mine have begun falling most years) 3) The grocery selection (I don't understand the brands and the quality seems very low - and I came from a region where HyVee was the major grocer so I don't understand why even their store brands are so different) 4) The constant difficulty and travel to find basic services, parts, labor, etc. if something breaks or if you need some kind of healthcare or personal service.","Better, higher quality grocery options","I would build more apartments, duplexes and affordable houses that don't require you to be a senior citizen, 50+, etc. For a community this size, the housing situation is horrific. I feel ashamed when I see incoming Grinnell faculty posting panicked messages on Facebook about how they can't find a rental property for their spouse and children weeks before the new year starts. It's upsetting to see how difficult it is for people working at businesses in town to find places to rent or affordable homes to buy. I was shocked at the high home prices, given how small and remote the town is. ",N/A,,I think too many people with high income spend a lot of time talking about how affordable houses are. We don't spend enough time talking about or addressing housing insecurity and the difficulty of newly hired employees to relocate to the community.,,,,
1/5/23 20:42,198,"The people, the college, community events (Music in the Park, farmer's market, theater & artistic opportunities, parades, Jingle Bell Holiday, etc), parks/outdoor areas, restaurants, downtown stores & businesses, having a hospital. ","Access to good food (Fareway, farmers market, etc) and opportunities to be outdoors (biking, walking/running trails, city parks, Ahren's). The high quality musical and theater opportunities and performances. Quality health care here in town.",Big community events like Music in the Park when people of all ages and interests gather to enjoy music together. Trunk or Treat at Ahren's Park where a large variety of community businesses and leaders gathered to give candy and smiles to hundreds of kids and their parents. ,,"Yes, though people have different ideas about exactly what they are. 
We definitely value education, especially higher education. We have a very prestigious college *and* a community college. Unfortunately, we're not as good at valuing our public schools. We're in desperate need of a new school(s), but can't pass a bond issue for a new building. 
We value our youth and families. I see this in the large number of parks, sporting clubs/activities, and amazing facilities (our aquatic center, everything at Ahren's, etc.) A lot of communities our size do not have so many soccer fields, baseball diamonds, outdoor playground equipment, an ice skating rink, etc.
We value diversity, but some people are still scared of those who are different than themselves. It's easier to say we value diversity than to really get to know those who aren't like us. ","Grinnell is not perfect, but it offers a lot more than other small towns in Iowa where we have lived.",,We wish there was more diversity. ,"We're an hour from everywhere, so too many people still choose to live in Des Moines or Iowa City and commute here for work. They are part of our community but not really. They aren't fully invested economically, and they don't stick around for Friday night football, Saturday parades, etc. ","I would love a fabric/quilting store. I'd certainly prefer a Target over Walmart, but am thankful I don't often *have* to travel out of town in order to get almost everything I need for my family. ","I would love curbside recycling. I'm told that was available before we moved here. Too many people are too busy/lazy/overwhelmed to take their recycling across town. We need to take better care of our earth.
I wish all the homes and businesses looked well cared for. Just as having litter everywhere would make our streets and parks look dumpy, having homes that are falling apart and desperate for paint reflects poorly on our whole town.",NA,I am fairly new to the community (2.5 years). Our church strives to be very involved in the community. ,"We don't talk about the divide between the town and the college. As someone new to the community, there appears to be a lot of mistrust between some factions of the town and the college. Having Grinnell College in town should be a HUGE asset to our community! How can we begin to see and experience having Grinnell College in Grinnell as a win-win? ","Grinnell is a great town! I wish more people could be open to learning from each other instead of being distrustful of others. Our current political climate is toxic for all of us. We should all be supporting our kids and teachers, our police and fire fighters, and our health care workers. ",,,
1/6/23 7:43,199,"Safety, size, community",People coming together on the Grinnell Facebook pages to help those in need,,,,I already have a home and family and friends here,,"Convenience; lack of grocery stores, food options, shopping options, and things to do",Empty buildings ,"Things to do for kids/college students(place to hangout), more food options, more shopping options","Better roads, fill vacant buildings, finish the downtown awnings so the construction equipment can finally be gone",,Young community member with a family,Bringing in “general” businesses. We cannot shop local 100% and bring in a chain restaurant or department store would be good for lower income families,,,,
1/6/23 10:30,200,The small town atmosphere and sense of safety and community .  The college investment in the community and opportunities that come because of the presence of the college.  The high quality public school district . The health care available to citizens.  ,The willingness of citizens to work toward solving any problems in our community. Then the willingness to put money toward the solutions. ,Homecoming parade time always reminds me of the awesomeness of GRINNELL.  It is a showcase of all the active youth  and the adults who work with them and for them. ,,,I consider  relocating often but come back to the realization that GRINNELL is home. ,,"The reason I consider relocating is the state’s politics.  I so wish to live in a state that values public education, support systems for people in need. A state that is less about the corporate wealth and more for the overall success of everyone. "," The properties that are unsightly, and have been for years. Codes are not enforced for properties.  I also get frustrated with the attitude of some community members that the college is the ‘bad guy’.   ",A community center. An indoor community swimming pool. A pre-k  to 12 year school campus. ,"*A community center for all ages. It would include a senior center and staff , evening and summer activities for youth and staff,  a child care center big enough to serve all of the families with programs and staff.  *I would love to see our schools have enough funding to provide the dream programs that could benefit our kids. * I would love to see our city services be expanded so that water could be soft for all , so that streets could be smooth , so that recycling could be picked up at the curb, so that seniors could have services that would allow them to live independently for longer .  * I would love for home owners, including landlords, be assisted in cleaning up their properties. ",I do live here and have for 50 years. ,Individual ,"People do not talk about the terrible situations our kids and families sometimes live in.  Poorly kept properties, lack of food, heat, opportunities to participate in activities are some examples. Many times these needs lead to abuse and unhealthy bodies, and struggles to learn. 
","I hope we can learn about the investments our corporations / larger businesses are willing to make in our community. I hear about what the college is doing and occasionally hear about service organizations programs. But I would like to hear how places like Brownells , Mom’s Meals, Jeld Wen, ASI, Theisen’s, WalMart, Bayer, UnityPoint, Casey’s, VanWall’s, and more are willing to give some of the corporate wealth to make our community even more awesome.  ",,,
1/6/23 11:57,201,,,"I feel proud to live in Grinnell especially during community events, like Jingle Bell Holiday. I enjoy visiting the local shops and see others doing the same. It's good to see people supporting our local businesses and visiting with friends and neighbors. I also feel proud when I see the way the community can step up to support others, as through the Christmas Share Program, the resources funded at the Drake Library, and the activities offered through the historical museum and the arts council. ",,"Support for local restaurants, strong use of outdoor spaces, a belief that we can be better","My job is the practical reason I stay, but I'd also be incredibly sad to loose the community I've come to know here through my various organizational memberships. I've sometimes thought about looking for a different job but besides the great benefits at the college, I don't want to leave the town. ",,"Nothing related to the community, but rather my job. ","The lack of curbside recycling is disappointing. A few more restaurants would be nice, but I also understand that we live in a small community and that can be hard to attract and sustain. It has been difficult to find housing - I can't afford to buy a house but rental options that allow for a pet and aren't highly priced is difficult. I'm a sole earner of about $40,000 , so my options are vert limited. I did find a good place, but it look a lot of work and a lot of luck. The trash at Arbor Lake is really a shame. We have lovely parks and I don't know why some people can't clean up after themselves and take pride in our community. I find the tar chip roads in town frustrating - I live in town so I don't have to deal with roads like that. Some areas with no sidewalk and broken curbs. and why on earth are there four way intersections without stop signs? I found that very surprising when I moved here. ",More rental options (something middle of the road - not low rent but not out of reach) or condos. Curbside recycling. ,"All streets have sidewalks with nice curbing. More trees at Hazelwood Cemetery. Places to secure bikes in the downtown. Expand the GARC to include dedicated pickleball courts, an indoor soccer field, and an ice rink. City funds to help support the historical museum. Better playground equipment at Arbor Lake, with a path from the playground to the lake. More downtown parking. 
",N/A,"P.E.O. Chapter NF, Grinnell United Methodist Church, Grinnell Historical Museum, Friends of the Drake Community Library, formerly Park and Recreation Board","Well, some people talk about it, but I love Music in the Park and the classes offered at the Stew. Such a great resource. Wish there was more talk about the historical museum!  I wish people would address the confederate flags people fly - that's hardly welcoming to minorities. ",N/A,,,
1/6/23 13:16,202,"Downtown, the college, nice neighborhoods",the people,Walking downtown seeing mask up signs made me excited to move here,,"Diversity, community",We thought about moving to Newton for more stores/options and my husband's work,,"not enough stores and restaurants, limited resources","bad roads, inconsistent water",more diverse restaurants and entertainment,water infrastructure improvements,,Work at Grinnell College,"racism, lack of diversity",is this community TRULY welcoming of diversity or are we just saying we are?,,,
1/6/23 13:20,203,"active community organizations, unique (non-chain) options for dining, movie theater, and shopping",walkable downtown! ,every Farmer's Market visit ,,,proximity to work ,,difficulty finding rental housing,shortage of quality rental options; no car rental options; recycling drop off only ,"options for community commuting/shuttles to Des Moines, Iowa City, airport, etc.; recycling pickup! Even if just once a month, would be really helpful. ",increased support for low-income community members; structure to make Grinnell a more sustainable commute to working in Des Moines/IC area; increased recycling program,,I'm a visiting faculty member at the College,gown vs. town is ever present tension,,,,
1/6/23 13:46,204,"I enjoy the arts community, the summer vibe, College and high school activities, and feeling safe and connected.",Grinnell College; Grinnell Arts Center and the STEW; summer parks and bike trail to Rock Creek; McNallies; good friends,"I loved (and miss) Pizzahappiness on the Farm. I enjoyed (and miss) Grinnell Games. I have good memories of Grinnell hosting RAGBRAI. Having kids in the local school system has helped me feel connected. I appreciate Music in the Park, and would love to see larger attendence and community participation there.  I like to support local businesses and restaurants. I've appreciated community through Grinnell UCC.",,"I worry about the political and socio-economic divide, and things our community has been unfortunately disconnected in both rhelms. This divide makes it difficult to articulate shared core values... but I'd like to see some bridge building in that regard.","I have loved living in a small community, but sometimes it feels too small and I worry about economic sustainability...  Basic services like health care, ambulance, fire, water, garbage/recycling are so important but increasingly difficult to sustain. The increase of virtual work and commuters feels problematic/unfortunate.
",,,"The community divide (town/gown) frustrates me - - and seems so unfortunate since we really need each other. The College is a huge assett to the community (in my view) but we are not always present in support of community interests... and vice versa. There is work to do, in terms of creating mutual investment/understanding in both directions.  ","I'm surprised that we don't have more local restaurants. The loss of a recycling program is unfortunate. Additional bike / walking trails would be a boost (it would be great to connect with other Iowa trails, as well). A local taxi and adult drivers education school would be very useful.  The lack of a local DMV office (even once a week, as in the past) is a tremendous loss. ","in addition to the things I've already mentioned, there are many small homes in poor condition in this town  -- and it would be wonderful to see them ""flipped""! 
",,,"Communication is a big challenge - - it's hard to know where/who to go to for information because it is so decentralized (local paper and radio, website, social media, emails, apps, chamber, etc...). There are many people and organizations doing amazing work in isolation from the public eye.","I'd be curious to know how people would answer a question about their sources of information about the community... How they meet new people... How often & when/where they socialize locally. I'm always sort of amazed, for example, how few people attend Music in the Park, attend local events, and/or eat/drink in local establishments. ",,,
1/6/23 14:15,205,I can get to my job in town in about 5 minutes by car,"quiet, low crime, food costs lower than big cities",Working with a community organization as a volunteer and a leader,,No idea. I never thought of the town having a unified core set of ideals as there seems to be division among people.,close to my job. I dislike driving,,"more resources in a larger town and fewer cliques. It can be really hard for folks who haven't lived here for their whole lives to feel like they ever can be a ""true"" member of the community and be listened to or feeling a part of the group.",everyone all up in everyone else's business. Very difficult to separate work life from social life so having to constantly be on guard to what one says to others in one place as it can easily make the rest of your life miserable. The anonymity of larger places ,"A community building that has a kitchen that folks can use to host events and a game room for table tennis, a craft space, or do just hang out together.  So many places close early, so where can people hang out together in the evening that isn't at a church or at a bar. This place would ideally be open to the public for hanging out except for the time when someone reserves.  It would be nice if the memorial building could be renovated to become a community activity building or if the reservable spaces associated with the library could be expanded, possibly including a kitchen so that folks could hold small events that involve community dialogue with meals.","bus system, childcare, affordable housing, more CSAs (I miss Grinnell Heritage Farm CSA and their Happizaness nights), a community discussion board that isn't Facebook-based",,,"We don't really talk to each other about difficult topics to come up with mutually acceptable approaches to resolving conflict. We have issues with poverty and race-based harassment and homelessness and other such issues, but I don't hear much said about these or how we're addressing it. ","There probably is, but I can't think what it is at the moment.",,,
1/6/23 14:33,206,"I love the College: Its mission, the faculty staff & Students, its diversity and commitment to Social Justice.  I also love what it adds to the arts and cultural opportunities.  In the town I love the downtown the boutiques, and the restaurants.  I also appreciate the Public Library.  I love the Parks and Lakes. Many Businesses are honest and provide good Value","The opportunities and community provided by the College; The Arts and culture provided by the Art Museum and Public Library, the Availability of Good restaurants and Grocery Stores. ","Often when I encounter folks downtown or at businesses like the Bookstore, Grin City Bakery, the Farmer's Market, Firestone tire & Auto - folks are helpful and friendly.",,"I believe that while everyone does not have these values, there is a history of a core respect and value of Honesty, Social Justice, and being Welcoming.  There are traditions of being helpful to neighbors and those less fortunate than ones self.  I believe that some of these are missing from a portion of the community, as demonstrated by recent racial violence and disrespect show to people of color.  ","I mainly stay because of my job at the College - but I could live out of town and still stay in the job.  I prefer to live in town because of the lovely downtown, good shops, and good auto repair place (Firestone); and the parks and lakes. ",,"The racial violence, the discrimination against People of Color. A strong disregard for Covid protections and following Science instead of misinformation. ","The Grocery store that has the best supply of diverse and international foods is the most expensive too.  And Groceries in general are more expensive than where I lived before.  Because the Hyvee and Walmart are so small - many things can only be purchased at the more expensive stores.    The lack of Mask protocols in most businesses despite high levels of Covid in the town.  There are several good restaurants, though with Relish closing that is one less - but there are not quite enough.  And not enough with outdoor seating options. ","Bigger Grocery stores, stronger community action against racial violence & discrimination. Affordable Housing for both low income and middle income people - both More Houses and more apartment spaces.  ","Add better Housing, Bring more Grocery and Restaurant Options, Fund Effective programs to reduce poverty, hunger and racial violence & discrimination. ",I do live there,Faculty at Grinnell College,"The lack of sensitive COVID protocols, Poverty, the racial discrimination - they do some, but not enough","How can we more effectively reduce poverty, racial discrimination and racial violence.  Often these arise out of fear - or funds are not directed to effective programs.  More research is needed to implement more effective programs - If folks are afraid of ""others"" - why?  And how can we reach them to 1) let them know where hear their fears ; 2) Provide concrete & specific info that helps them see - from their perspective - how their fears are either unjustified, or are being addressed; 3) Provide concrete info on the benefits of a diverse community - to them specifically, not just in some airy fairy way. ",,,
1/6/23 15:42,207,Ease of getting where I need go,"downtown businesses, low crime",Derecho - many people worked together to support the clean up,,no,close to work,,high taxes,dysfunctional city governance,,fill the empty businesses on 146 - looks awful.  Fill the gap between the interstate and Walmart.  Affordable housing.  ,,,,,,,
1/6/23 16:02,208,Small community,,,,,,,Not enough to do for families. Places to eat.,I wish Grinnell had more community activities. Fun days. Friday concerts like they used to. More community things.,I wish Grinnell had more community activities. Fun days. Friday concerts like they used to. More community things.,More sit down places to eat.,,No,Taxes being high.,,,,
1/6/23 16:36,209,Proximity to everyday needs.,My awesome job ,I’m a small business owner. Grinnell is a remarkable place to live and work. ,,I do not,I live where I work. I’m not moving,,,"Property taxes, property tax abatement programs, lack of development in 146. Limited downtown 24hr parking. ",More major employers. Motivation to increase the population by creating a workforce need ,Move Grinnell to the Hawaiian islands. Seriously. Expand downtown. Sales tax free downtown. Incentivize new business formation. Passenger service high speed rail. Passenger service air travel. Add more dining options. Expand city limits. Create larger natural parks. Integrate bike trails throughout the city. Preserve all downtown buildings. New schools. ,,No,Grinnell college has a 3 year residency requirement. Most students live on campus. ,How do we do it? How do we increase population? How do we make this a hospitable environment for employers and residents? What do we do to attract a major employer? How do we develop our interstate/146 corridor? How are incentivizing people to come here and stay here? What are the employee retention rates from Grinnell’s major employers? How can that be improved? ,,,
1/6/23 18:20,210,Friendly atmosphere and good people ,High school and people,During high school football,,I’m not sure,Work,,Yes. Schools going down in quality of teaching and curriculum ,Losing many restaurants and nothing replacing them ,More places to eat,More restaurants. Less decisions based around what the college wants. ,I live here,Grinnell Facebook,Crime seems to be going up. Drinking Water quality is poor ,Thoughts on water quality and roads,,,
1/6/23 19:31,211,The friendliness of the people and the ease of day to day living; access to services close to home. ,"The people (friends and strangers ) and the vibrancy of the community (college events, library, exercise, arts community, etc.) Solera, Saint's Rest, Beckman's Gallery, Pioneer Bookstore, Grin City Bakery, Brown's Shoes, the beauty of the plantings in the summer and the holiday lights in the winter, Central Park bandstand, Hotel Grinnell, beatification efforts on campus and in town, access to quality health care and Total Rehab therapists, easy access to two airports, University of Iowa medical center and Des Moines medical services, classes and 24 hr access to the Ahrens fitness center, easy downtown parking. ","There are many, especially when I have brought  international visitors to Grinnell College, the Art Gallery or when I took family members to visit the facilities at Mayflower, farmer's market, the Jewel Box, even a walk around Arbor Lake. ",,"Always looking forward, desire to build new opportunities for growth and improvement, friendliness and a sense of community (for most, at least).","ease of life for the aging population, cost of living",,"Need to have a lively urban atmosphere, entertainment outlets, variety and population diversity that is common larger urban areas, better transportation options ","Loss of curbside recycling,  concerns about municipal water treatment quality, timely street and alley repairs and maintenance, attitudes toward public education (few AP course opportunities in the high school, overemphasis on teacher hires that privilege coaching over academics), attacks on the school board efforts to support diversity and civility, representative's attitudes toward education and his calling for unreasonable  teacher accountability among other issues","Curbside recycling, men's clothing store, more varied restaurants, and places to meet in small groups, a music school for adults and children. Regular bus or rail service to Chicago, Minneapolis, etc.","Big financial incentives to attract and support new small businesses to Grinnell. Interstate passenger rail service. Extensive programs to support low income families and provide enrichment opportunities for their children in art, science, music, languages, history, sports, nature, etc. More funding for school field trips and non-profits in Grinnell.  
",,I am a retired college professor. I was not recruited.,"Racism, antisemitism, gender diversity,  all the hot button issues..often assuming that everyone is the same as they are. ",Grinnell has made great strides as a community over the past decades. There is a good amount of positive change that we can build on. I am optimistic. I am also wondering how you plan to disseminate the results of this survey. It might well be an opportunity to create a reason to bring together different voices and perspectives in the spirit of dialogue and future planning. Carry on. This is a great opportunity for our community.,,,
1/7/23 2:25,212,It's easy to get from place to place. ,"Youth programing (sports, arts) is good in Grinnell. ",I have never felt connected to Grinnell or proud to live there. ,,Grinnell doesn't like outsiders. That is its core value. ,Too far to commute  on Interstate 80,,Episodes of racism. Unwillingness of community to support new school construction.,Grinnell does not like outsiders. ,Grinnell does not have a plan to build more housing or other projects to make it easier for people to live here. ,Build new schools,,,People do not like outsiders in Grinnell,What would get people to support new school building in Grinnell?,,,
1/7/23 6:10,213,"Availability of community resources for town of this size, including medical facility, library, youth programming",Availability of activities for my child ,After the derecho when there was a lot of effort to help out neighbors,,I cannot identify any core values except there is a lot of energy around football and multigenerational connections of living on the area,Difficulty of commuting to work in Grinnell from other areas.,,Grinnell has not felt very welcoming to newcomers or outsiders. It has felt difficult to integrate into the community at times. I have felt unwelcome at times due to my political values or assumptions made about me due to not having been raised in Iowa.,"Intolerant behavior, including racist incidents in schools and racist vandalism; having political signs stolen from my yard; having a menacing truck waving a confederate flag  drive around my neighborhood or near where I have participated in community events. At times, insufficient child care also been a problem.","I would like more consumer choice (particularly as my family is vegetarian) and more cultural opportunities, but I recognize this is an issue of community size/scale ","New k-5 public school; waive activity fees for youth participation in sports, clubs, swimming, school events, etc. develop more regular community meal type gatherings. ",,Link from Grinnell community school district and Grinnell College ,"That “Iowa Nice” is limited in scope. My son, who was born and raised in Grinnell, has been welcomed and feels comfortable. But my husband and I have struggled to feel connected.",,,,
1/7/23 15:52,214,I work in town. ,My church ,Helping with my church meals. ,,Not really. There is a history of racism and discrimination in town. ,I work in town and it’s too expensive to move. ,,"Taxes, terrible water, no job opportunities that one person could live, no community voice on the way things are allocated. ",My answer above ,"Better transit, more job opportunities, and lower taxes ","More affordable housing, streets and better sewer systems, along with rural water. The city water system is horrendous. ",,,The fact that the rich keep getting richer and the wealthy have more say in what happens. The rents downtown are not all that sustainable for smaller businesses. It’s really embarrassing. ,,,,
1/7/23 19:12,215,#NAME?,"- existence of spaces to gather like the Grinnell brewhouse and Saint's rest (wish there were more of these options)
- offerings through Grinnell arts council
- gym facilities through Grinnell college
- farmers market
- local newspaper provides information about what's going on","-- there was an ""all congregations"" picnic over the summer that I particularly enjoyed and that made me feel more connected to Grinnell
-- the Holiday stroll and soup charity also made me feel more connected to and proud to live in Grinnell",,,,,,"- there are few good/interesting restaurants or coffeeshops (only 1 sitdown coffeeshop!)
- there are times that I've felt that I was treated differently from my brown-skinned friend by business owners (I'm white, female)
- I wish there was a *good* bakery; not just donuts
- finding good housing is very difficult both for buying and for renting; many of my friends are in low-quality rentals or have inconsistent/questionable experiences with landlords
- almost all services are word of mouth -- if you don't already have deep roots in the community it can be hard to find good contractors, locksmiths, doctors, dentists, etc.",#NAME?,,,Grinnell College email,,,,,
1/7/23 20:51,216,Good schools,Things to do,During the Christmas season,,Yes…family and community focus ,Things to do and diversity of restaurants ,,Yes. Relationships,Restaurants are always closed. Don’t deliver. Really expensive. Expensive house prices and taxes. Poor city streets.,More affordable shopping and dining choices.,Update streets. Reed and Prairie are AWFUL. Have more entertainment events…use that band shelter more. Have shopping choices besides Walmart. More restaurants. Shame Peppertree at the Depot couldn’t make it. Pags is good.,Same as above.,Allison Haack,The diversity of the community with the “townies” vs the college peeps. The liberalism in the schools. The fact if you’re not born here you’re not as important. ,,,,
1/8/23 8:09,217,It's a small community ,The fact that I live outside of city limits,When they come together to help those in need,,Nope,M9ney to move on,,"Lack of restaurants,  the college taking over the town, ",The college ,A place with properly trained staffing for disabled adults ,"Bring in more places to eat and places to do things...ie like smash park, ax throwing, an arcade ",,No,The chamber and city only wanting certain things here and not wanting to let in other establishments,,,,
1/8/23 8:42,218,,,,,"racism, sexism, all the -isms, inbred bias, prioritizing the white christian heteronormative couples with children, and f-k everyone else",,,"crap roads.  crap sidewalks.  horrible water.  zero accountability for evil behavior from white people.  trump signs, rallies, and the like.  school board politics.",,,,,,,"who benefits from this project?  what is the point?  if you have to pay people to participate, then your results are skewed from the get go.  shame on you.",,,
1/8/23 19:03,219,I like living in Grinnell because the town is a good size in population. ,I think a positive impact on my quality of life in Grinnell has been the safety and that fact that Grinnell has always felt like home. I think this has changed in the last couple of years and doesn't feel as safe. ,"I think Grinnell has good community activities such as car show, farmers market, whiplash, etc...",,I think a core value Grinnell has is keeping the community growing in a positive way as well as shopping local. ,I decided to stay because this is where my family lives and because of the people. ,,No,Very high priced homes per square foot. ,I think we are missing food chain restaurants and more clothing stores. I think Grinnell could be great if you added more selection. It is nice to have local boutiques but also I know a lot of business that leaves and goes to Iowa City or Des Moines or bigger stores of restaurants.  ,"More restaurants, more entertainment, bars, stores ","Not lower income houses, but houses in Grinnell cheaper per square ft. It's hard to buy houses in Grinnell d/t price ",I was informed by someone.,N/A,No,,,
1/8/23 21:28,220,"Beautiful Parks, College Pool, Small Population, Friendly, Ability to be involved in the community, Great Restaurants, Great Bars, Beautiful Downtown ","Grinnell College, Small Businesses Downtown, Mayflower Community, Proximity to I80","Derecho, Fire Station Pancake Breakfast, Jingle Bell Holiday, 4th of July, When the high school girls basketball team went to state   ",,"No, too divided to have core values.  We cannot even can't even pass a school bond.  ",Never considered moving away from Grinnell.  ,,None ,"The age of the school buildings, not passing a school bond, BGM has nicer facilities than we do, most schools our size have nicer buildings. ","YMCA with indoor pool, High School pool (there is not enough pool time for our swim teams at the college pool), Panchero's, indoor athletic complex with turf","New facilities for public schools, indoor athletic complex with turf and an indoor pool",n/a,Grinnell Chamber of Commerce Ambassadors ,"Poor conditions of our public school facilities, creating an economic development plan for our community to focus on recruiting companies to create new good paying jobs in manufacturing and business ",No ,,,
1/9/23 5:50,221,Not a big city. We actually live outside of town ,,,,That’s if the college says jump they get whatever they want and because of them taxes are so high and their beliefs are trying to take over the town ,Haven’t found the right piece of town and God hasn’t said to move ,,The community is concerned about themselves,Properties are too expensive and the college seems to run it,,"I would have a place for recovering addicts to live, to help parents gets their child(ren) back from DHS, almost like a ymca for the youth, I would do God’s work ",Be more community related and not money related. Stop catering to the college ,,"The homeless, the drug addicts.. they need more help. DHS moved out of Grinnell, families needing help have a hard time doing what they need to do","Should be asking how we can take care of the community members and not about who has the most money. People bringing things to the community seems to be how much money they have .. the empty businesses are empty because no one can afford to rent them! MILLION DOLLARS TO BUY THE DEPOT?!! To much is placed on the value of a building. $7,000-$9000 to lease the old family video?!! No more banks, no more convenience stores, no more pizza restaurants! No more sub shins or Mexican restaurants! There now I have named all the food we are only able to buy! ALLOW for others to come in. Actually listen to the community. And just because the college does it doesn’t mean it’s great for the community so stop giving them everything they want. During Covid nothing was done until the college did. Are they mayor? ",,,
1/9/23 9:03,222,Connection to friends!,Grinnell College events.,Art in the park when my grandchildren were able to take part!,,Open to diverse people!,I have lived in Grinnell area for 37 years! It is home.,,I love the outdoors and miss living in Colorado at times.,The pandemic has been difficult and disastrous for many restaurants! ,"I miss the recreation center that closed many years ago! It was a great place for bowling, skating, and live music!",Create another recreational facility.,I live in Oakland Acres.,Sarah Smith,Poverty.,What can be done to make the Arbor Lake area more inviting?,,,
