Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?"
308,"Small town, anyone can participate in extra curriculars.",The community.,When I was on the homecoming court and was in the parade.,Inclusion,,,College ,No diversity ,More diversity ,More funding to school,,My name is Tamer Bush and I am a senior at Grinnell High School. I was recruited by Annika Ford
309,I successfully escaped to just outside city limits a few years ago.,Moving just outside city limits. ,I have been in the area for more than a decade. I have never felt connected to the community or proud to live in Grinnell. ,Grinnell's core values seem to be doing whatever the insane woke communists associated with Grinnell College want.,I did move away. I escaped outside city limits. ,,"When we made an offer on a house inside Grinnell that had been foreclosed upon, we received a ""nasty gram"" from the city, DEMANDING to know what we intended to do with the house. We got the aggressively-worded nasty gram BEFORE we actually closed on the house. I have never felt less welcome in any other community, and this is my 4th different state to live in.","When I first arrived, sanctimonious signs in the library parking lot for low-emissions vehicles only. Ridiculous trash and recycling policies. I hated having to buy the holy yellow trash bags. Even though we paid for BOTH trash and recycling, we had to pay extra fees for items like old washers and dryers to be picked up. Ridiculous sidewalk snow policing. We were almost ticketed once because the sidewalk snow police got our address confused with the neighbor's house. Potholes in the streets. The ever-increasing insane leftward tilt of everything associated with Grinnell College. We made several improvements on the house we bought, and the required ""city inspections"" for them all were 100% worthless and obviously nothing more than a way for the city to collect more fees. Getting ""permission"" to re-install the backyard fence the city had taken down several years previously to allow equipment to cut down trees damaged in an ice storm. Not erect a new fence, but merely reinstall the fence the CITY had taken down and left piled in the back yard. Every single official interaction I had with ""the city"" was annoying and bureaucratic and obviously intended only to gather up fees for the city.  I received the message from ""the city"" every single time that I was at best, a source of fee dollars for the city, and at worst, I was an annoyance the city put up with in order to collect fee dollars from me. ","A focus on the people who actually live in Grinnell, and not just the huge piles of money that Warren Buffett mistakenly gave to the Red Guard brigade at Grinnell College. ",There is no amount of money that would improve Grinnell without Grinnell deciding to first improve itself. ,I cannot imagine any changes that would entice me to move back into city limits. ,Got link from public school email. 
310,"I moved here because my son moved here and when I came to visit, I fell in love with the small town.  I love it here because it is a lovely small town, quiet, no traffic and a very low crime rate.  I love being surrounded by corn and bean fields and enjoy watching the farm seasons.  I love our little small town paper, The Harold Register.  ","I love the low crime rate, the seasons of the farms around the town, the nearness of a decent hospital.  Being able to go to Rock Creek State Park is a real plus for our family.  Activities at the college are always a draw for us, the pool, the music concerts, and meeting students and professors around town add to the quality of life.  The college Art Museum is a definite plus.  We have a superior library for a small town.  "," I was very pleased with some of my fellow members of the community when the people voted down the idea of having an elementary school on top of a toxic waste dump, that would have put those arriving at the school forced to turn on a very dangerous location on the highway.  Over all we voted down something that never should have been suggested.  
A positive time was when the college was able to have Summerfest.  When the local quilt guild is able to have shows in  the college museum.  
When we built the new library and the aquatic center.  ", I think the principles and values of the city fathers and the chamber of commerce are totally out of sync with my core values.  They are all about appearances and money.  They spend too much money on the appearance of buildings and big signs and less on caring for the poor and keeping the streets fixed.  The city got into buying property and building houses and apartments goes against my idea of a city's responsibilities.  The use of state grants to go into the housing business is totally against the people's needs.  ,"Because my family is here and we want to be near them.  Plus, I have lived a lot of different places and this is just about my favorite place I have ever lived.  In spite of all of my issues with the way the city fathers do business, I like living here.  ",,"My next move, if any, would be to senior housing or assisted living.  I would like to rent an apartment in a senior community rather than having to buy into Mayflower.  There are some available in other communities.  ","The lawn Mafia.  When I moved here, I was greeted by two neighbors who started complaining to me about the lack of a lush green weedless lawn.  I would love to see Imagine Grinnell reward those who have more natural landscaping and less mowing.  From early spring until the first snow there is somebody mowing their lawn on my street.  The parks and lawns here require tons of energy and toxic chemicals to stay green and lush,  Let's hear it for dandelions and native plantings.  

Lack of parking in downtown Grinnell.  ","I would love to have an in town, small dog park. 
 We need more doctors, it is so difficult to have doctors leaving all the time.  But that is not something we have much control over.  
Of course we need more sit down restaurants.  
A preteen and teen center especially needed in the winter time.  ","Dog park.  
Better streets.  
More concern for poor people.  ",NA,no
311,"Activities on the college campus, walkable town, decent selection of restaurants","Ability to walk, use the golf course, relatively light traffic",Most days,"I think there are a set of values, but definitely not everyone subscribes to them.  Seems that many have adopted Grinnell College values, while others are staunchly opposed to those same values.","Really haven't considered moving, but do think about what we left in the Des Moines area, Norwalk to be specific.",,"We're a pretty moderate family politically, yet in school, our boys are probably well to the left of the general population.  They're called things such as ""lib-tard"" and at last Friday's basketball game, they car, and a car of one of their friends, was egged and had chocolate sauce pour on it.  Schools have issues!!","Entry to town from the south really needs work.  Schools have issues, though I know a lot of that starts in the home.",Another nine holes on Grinnell College Golf Course.  Better clubhouse facilities.,"Improve south entrance into town.  A two mile long, 12-ft high wall with a continuous mural would be a definite improvement.",N/A,No
312,"The College, The Grinnell College Golf Course, The Library, Greenspace and walking Trails","The College, Grinnell College Golf Course",At the pool (that is now closed) at the Grinnell College Golf Course. It was a great place where I met a lot of friends in this community. ,no,,,"Yes: Better Retail, More Recreations Opportunities, Better School Facilities ","The Closing of the Grinnell College Golf Course Pool, The poor water, lack of community recycling program, lack of retail (groceries and other). Lack of quality restaurants even fast food.","Farrells Extreme Body Shaping Program, Target, Aldi, More outdoor pool options other than the City Pool (like the one that was at the golf course). ","Better School Facilities, A New Pool At the GC Golf Course, Additional Shopping.",,
313,The size and the low crime rate,"Parks and trails, lots of places you can go outside.","When Covid happened I felt the community took an interest in the people, like when Fareway had special hours in the morning when my grandparents could go shop.",Sense of community,Haven't considered moving,,N/A,Lack of places to eat and we don't have fun festivals like we uses to have.,Community festivals like Happy Days like we had a long time ago. We don't have any one thing we do every year for the whole community to get involved in.,"Make the downtown more like Pella, they have so many neat places and things to do.",N/A,Recruited by Jane McFee
314,"The College, The Downtown, Ahrens Park",The College,Homecoming Parade,Balance of Traditional and Progressive Values,"The College (jobs, quality of life, etc)",,"Lack of Diversity, Racism directed towards College Students, and Crumbling K12 School Buildings","Lack of Diversity, Racism directed towards College Students, and Crumbling K12 School Buildings","Better K12 School Facilities, Empty Nester/Retiree Housing",New Combined Elementary School,NA,School District Employee
315,"I really like the diversity of people in Grinnell especially the way individuals from business, agriculture, religion, academia, and more come together.","I live on a farm between Malcom and Brooklyn.  Grinnell is my go-to for so many things.  For example, I rely on the small Brooklyn Grocery, owned by a friend, for some of my food.  Everything else in available in Grinnell.  Without Grinnelll's Hy-Vee I would have to shop in Newton.  Without McNally's I would have to drive to a Trader Joes.",I really like to attend the events in central park.  The Turlach Ur concert last summer was amazing and the Christmas lighting was magical.  The best thing is seeing all the people walking to the park or sitting in their cars on a frosty evening.,Progress.....in always wanting to make things better.  Inclusiveness....in valuing each individual as a person and for their contribution to society.,N/A,,N/A,"I was a Walmart shopper back in the day when my family was still living at home and I needed a one-stop shop.  Now my shopping experience is frustrating at Walmart, primaily due to workforce problems.  Luckily, as a retired person I have the time and desire to shop multiple locally-owned small businesses to get what I need.","I would love to see Grinnell reach out to the small towns nearby in a way that conveyed ""WE are Grinnell.  YOU are part of our community.  Here's what we can offer you.  Here's what you can offer us.  Come on over!""",,"N/A.....been on the farm for 50 years.  Not leaving.  

Although!  Hold the phone!  I've been watching the Grinnell retirement communities grow over the years and have decided that if I require care that I can't get in my home, Grinnell will be my next stop.",I saw the article in the Grinnell Herald Register and then connected with Bel.
316,"A friendly, small, personable place, within reasonable distance to Des Moines for greater needs that might arise, including airport use.","Same as above, plus the college education I received at Grinnell College.","I felt my daughters received a good education in the public school system.  In particular, the art and music teachers enriched their lives.",There is an ethos of being friendly and helpful to others,"Yes.
We stayed as a family, because my husband has a very good job here that he loves, and this was a great place to raise our girls.",,"Yes, simply because I am from Latin America, winters are hard on me, and I also miss having a large Latino community around me.",Just the above,"For the size town it is it offers a lot, so I have no further suggestions, except perhaps that it needs for activities for teens.","Establish a downtown, multi-cultural music and food festival that brings performers and vendors from our region and around the state - perhaps nearby states.  The point would be to highlight and bring visibility to the artistic diversity that already exists in Central Iowa and the rest of Iowa.  People could be brought from elsewhere, but Iowa has cultural diversity to offer that people aren't seeing.  Satellite performances/vendors/art could be brought simultaneously to the hospital parking lot, the Walmart or Hy-Vee parking lot, the high school parking lot, the Ahrens Center.    Bring the festival to where people are.

In the winter, offer an international film festival downtown, in nursing homes, at the high school, at the hospital perhaps if there is a gathering space that allows for moderate volume indoors

Both could be done in conjunction with the college, perhaps, ",N/A,I am just an ordinary community member.  My husband shared the link to the survey with me.
317,"size; engagement of community
","The Stew, College Lectures, Drake Library",Music in the Park,"It sort of has a set of core values, although not everyone subscribes to them. I think taking part in the community and helping others are core values",I've been here 47 years; it's where I have a community. ,,the weather (!); the difficulty getting out of town,lack of public transportation to get to other places,a working railroad!!,continue to improve downtown buildings and to deal with the wrecked residences (and absent landlords) around town; work on getting a communter rail service,,no
318,Small town living,Safety ,,,Family ,,Cost of living ,Taxes and lack of things to do,Family resturants ,,,Britta Meints 
319,My wife and I work in the same community for the first time in a long time. ,"Small town living, safe and secure community, plenty of activities for my children. ","Unfortunately, these opportunities aren't as great as they once were for a public educator. Connected in a positive way? I can't say that I have to be honest. ",I'm not sure I can state those accurately. ,"I have considered moving, often. We stay because we both work here. ",,Being publicly harassed on social media. Hearing my name in a negative light at my children's things. ,Stated above.,I do believe Grinnell has a lot of positive things that many communities our size do not!,I would love to have a communications team that constantly highlights and intervenes with negative news. To be able to constantly tell our positive story from an educational side. ,N/A,Damian Imhoff
320,"Community parks, cleanliness, school.","Soccer field at Ahrens, Grinnell High School, restaurants like Frontier Cafe and Hometown Heroes.",When my dad was on the Veteran group and they met their fundraising goal for the new building at Central Park.,"Closeness, inclusivity, and just a community feeling.",School and my Family.,,College and schools outside of grinnell as well as just wanting to live in a larger town.,Nothing I can think of other than it being a smaller town.,If they had floodlights and fixed the scoreboard at the ahrens soccer complex.,"Simple road fixes, old schools like the middle school need renovated, and grinnell having its own travel soccer club.",The changes I listed above,Ireland Sebetka
321,"People are nice, we have some nice resources(ie walmart, grocery stores etc). There are some nice restaurants left but they can be overpriced for the type of community(many lower income families and elderly)",Walmart and grocery stores. ,,"Support the college, bring in higher class/income families. ",,,Lack of moderately priced homes($200k or less) and lack of a variety of resources. You can’t expect everyone to be able to afford restaurants like Prairie Canary.,"The condition of the roads, lack of restaurants, constant collapsing of sewer systems. The school system is severely lacking; mostly at the high school level. There is a lack of staff that care about the kids and work hard to help them be successful. ",More restaurants. A mix of fast food and chain restaurant like Applebees.,"Definitely the roads and sewer system. Get rid of the educational staff that are just phoning it in and replace with true dedicated educators. And pay them what they deserve! Bring in target, Culver’s, and a restaurant that serves a good steak along with a wide variety of other options. Finally get the schools repaired or replaced as needed. We need to invest in our community in order to make it grow. Look at Pella; they’re a similar size but have tons of restaurants and things to bring people in to spend money. More affordable decent housing that doesn’t require a ton of work and is less than 100 years old!!",,Grinnell resident. Received in the mail 
322,My neighborhood (on Spring Street),The people and my neighbors and friends.,"When there used to be so many people in our neighborhood, young and old.",Not really,No,,"No, I don't know where I would go.","The crime rate seems to be getting worse.  I hear so many sirens these days. I wish the city could also do something about all the scams I get on my phone.  I almost got taken by a scammer, but called the bank in time.","I think the city needs to bring back festival like they used to have.  Happy days for example, I loved going down to the park and seeing everyone and the food etc.  Better roads and bike trails so I can get to places like West Side Diner.","Better roads, trails, more deli's and an affordable shoe store.  I wish Walmart was closer because it is hard to ride my bike out there. ",N/A,Jane McFee recruited me. He s  a 68 year old single male who does not drive and gets around only on his bike.
323,"I have a house, my church and friends.","Access to money, food and a furnace that works.",Just the freedom to go places like Come Back Cafe.,"A sense of community, low crime and good health",No,,The weather!,"The weather, dogs barking, the sirens.",More things for Seniors to do. More accessible things to bikes and walk to. Empty spaces downtown.,Better roads and sidewalks. ,N/A,Jane McFee recruited me. I am a 60 year old single male who only gets around by walking or riding my trike.
324,"Low crime rate, very civil school with minimal bullying when compared to the rest of the world. Additionally, the town itself is generally friendly and clean.","The resources grinnell has for a small town of 9,000. For example, walmart, hyvee, handfull if restaurants, but by far jt is location. Very close to a few state and county parks, plus proximity to Iowa City and Des Moines.",I never felt proud be a part of the whole grinnell community.  Only parts of it.,"I do not. Grinnell is very diverse and has morals and views of all walks of life. Between grinnell college, the elderly, the agricultural side, and Industrial part of our community, I think anything could be an argument. ","Low crime rate, with a small town bond but with some nice emenities such as Walmart and other businesses in our area. ",,"Yes, and the biggest one is the lack of resources for my career. I am in college to be a commercial pilot, and will not live an hour+ away from the nearest Class C or D airport. Additionally, there is a high cost of living with a lack of resources that I intend to utilize. Nothing against the town per se, it is more of a logical choice for my career and intended lifestyle. ","Mainly the drama and idiocracy of grinnell college and the many pots in which it has dipped its dirty fingers. That being said, grinnell college brings in a large portion of business and therefore economy of grinnell. Additionally,  the lack of anything fun stuff to do. The biggest issue was that you have to drive 1/2 to 1 hour away to actually get something important. Although we have a hyvee, walmart, the thiesens, etc, they never have the things that other branches of the same store have/is much more expensive. ","Entertainment besides bowling and a movie theater. For example, an ice rink that doesn't melt every week, or an arcade/go karts, something to do.","I'm a little biased in my answer for my personal lifestyle, as I am not a city planner. Also unlimited money is a slippery slope. Nonetheless, here it goes.
Firstly, I would make our town attractive for people to visit or live. This would would bring in more people to live/work. With unlimited money, this would be putting in some bars, maybe a night club, an airport renovation that would bring us to class D and bring in commercial traffic, mid/high end apartments for people to live, put in several new businesses including but not limited to entertainment and food (Whitney's ice cream, Little Ceasars, go karts/arcade, ice rink, renovations to bowling, setting up leagues for youth and adults sports, etc), industry/jobs, and improvements to the county fair to draw in more people. Unfortunately,  all of this would only work if there where enough people to feed this new economy, and we don't have that. However, if someone was clever enough to make a 20 year or so plan to build our communit instead of stagnent/declining, this would work. Also, fixing the broken stuff in our school and making it look nice like those we competed against. And if I had unlimited money, I would build a new school and NOT TAX THE HECK OUT IF LAND OWNERS AND I WOULDN'T BUILD IT ON CONTAMINATED LAND!!! Find a clever way for it to happen. Do nit run it again with the same logic ir plan please.",The info listed above.,I am a GHS graduate and I was recruited by Ireland S.
325,Friendly people,Employers,Poweshiek county fair,"Yes, it seems like people in general are helpful to those in need",,,,The college sticking their nose into the school here,Chic fil a by interstate,Build new high school/ renovate,,Ireland Sebetka 
326,The people ,Knowing everybody,Derecho clean up,We believe in community,It is home,,Higher education ,Knowing too much about people,More restaurants and entertainment ,More restaurants and entertainment/more stuff to do in general,More stuff to do ,Ireland Sebetka
327,how supportive the community is ,the sense of community it has. ,how everyone came together with Drew Gibsons death. ,Family values seem to be very important. ,My friends and family there. ,,I think sometimes wealth and popularity status put people on a pedestal ,what i said above. ,I think it would benefit with less judgement. ,i would make it more affordable. ,what i said above ,Yes by Ireland Sebetka 
328,"It's a small town, so not much crime. it's a good place to raise a family.",,When I was a Volunteer Fire fighter. It felt good to give back to the community I grew up in.,"I believe we have the same as everywhere else in the ""fly over"" country. Family, friends, love of country, and basic conservative values. I think most people here are givers, not takers if you know what I mean.",I never have considered it.,,none,"In the past few years the lack of restaurants, and we're losing more all the time. What appears to me also is a dying downtown. There used to be so many small businesses and shops. But I'm old and just remembering the ""good old days."" Remember when Ridiculous  Days was a big event.",See above,Roads and infrastructure would be first on the list. then entice new businesses to come here other than factory work. It would have been nice to have the Williamsburg mall here.,,I saw a flier by a mailbox. No one recruited me.
329,I don't live in Grinnell.  It's a nice size town.  Not like a big city.,Repair stores and parts stores.  Food.  Restaurants.,Ag Days ,It feels safe.,N/A,,N/A,The loss of restaurants like Hardees and KFC.,Better medical services.,Bring a Mayo Clinic to town.,N/A,Lucia Dhooge
330,"That we have hard working people, that make it possible to keep this place well kept.",The community I live in helps everyone along with any changes they have. This has helped me to keep living here. As well our church keeps us hopeful when times are hard.,That bad storm that came through a few years back took down a lot of our trees and took some our roof off. Our neighbors helps us fix the roof and cut up the fallen trees. For them helping us I helped them and our other neighbors in that time of need,I think they are independence and confidence.,"I have never considered moving, my parents asked if I wanted to and I replied with “ I want to be a tiger”",,No I haven’t had any reasons.,"Mostly the construction, but it is well needed.",More family centers other then the pool and arines center.,Have a bass pro is what I would like.,Na,Ireland Sebetka 
331,"A nice house, good friends, vibrant downtown, parks, local agriculture, music groups, community theatre, church","Property affordability; well-maintained public parks, community pool, rec spaces, & natural spaces; great teachers in the public schools; good daycare and after-school options; local agriculture (farmer's market, Middle Way Farm shares, Barney's meat); bakeries (Grin City & Bread Tree bring me weekly joy); high-quality food & drink establishments that you'd find in a big city (Prairie Canary, Solera, Peace Tree/Craft Brewhouse, Sts Rest, Chuong Garden); quality goods (Bill's, Beckman's); responsive services (German).","Pizza Fridays at the Dunham farm are my golden moment of life in Grinnell! Gathering with friends in a beautiful agricultural setting with live music and good food and a true communal vibe, watching kids run around & play on the farm (my kid will never forget watching a calf born!), was a real high point. I really miss those Fridays since the Dunhams moved away, but I have had similar experiences & great memories at cookouts & potlucks at Central Park, Summer St Park, Jacob Krumm Preserve, and friends' backyards. The other time I felt particularly connected was on the opening night of Frozen Jr at the Loft Theatre last year, knowing it was the culmination of 2 months of rehearsals in which my kid made amazing friends and felt deeply part of a supportive and energizing drama community.",Collective responsibility for one another,Feeling valued at work (college); accommodation of dual career partnership; very good friends & colleagues; good schools; great family life; wonderful church community.,,"In the almost two decades I've lived here, there have been three days that gave me serious pause about continuing to live in Grinnell: 1) The day Brownell's opened 2) The day I attended a school board meeting about covid masking policy in which people screamed at each other and ridiculed one another 3) The day my kid started reporting being bullied for gender identity in school. So, political polarization has been a major concern about life here.","1) Industrial agriculture that creates terrible smells and air quality some days and drives people indoors -- this is honestly a HUGE problem that affects quality of life in an otherwise beautiful place where people enjoy being outdoors and gathering outdoors 2) Difficulty of traveling to/from Grinnell, esp air travel combined with lack of rental car or taxi options for getting to/from airports",More restaurant options that expand different ethnic cuisines and offer lunch & dinner options all 7 days of the week (collectively if not each individually); taxi or shuttle services to Iowa City & Des Moines; more rec options for all seasons (esp winter).,"1) Develop an ""agri-hood"": https://www.iowapublicradio.org/podcast/talk-of-iowa/2023-01-25/the-steadily-growing-potential-of-agri-communities 2) Eliminate all CAFOs 3) Subsidize a taxi/shuttle company 4) Build a roller rink for year-round indoor skating and make sure winter ice rink can run 5) encourage one or two new restaurants",,"No, just heard about it by word of mouth and found the link via a friend's social media post"
332,"It is a smaller community that is very accessible. The travel time is very low which makes it simpler to drive to any type of store, restaurant, etc. ","The people around town are always kind, and helpful if you need directions or anything else. ",I dont know if there was a time I have felt connected but I think a time the community has come together is when we hold the Powshiek County Fair. ,"I think Grinnell can be very divided politically or more politically moved. I believe that is what divide's people, they judge others by their views instead of by their character and actually getting to know them.","Yes, the cost and effort of moving, finding other jobs, etc. ",,"Yes, the school system and how people treat others with different opinion's. ","I think the care for the roads in the winter, how the school system is, as well as the delays, hours of business. ","I think Grinnell needs bigger and more fast food changes, as well as more health inspection's on those places as well as more things for the younger generation to do. ","The roads, bossiness, food places, activities, the school. ","I think making the town a little bigger, adding more stores, bigger chains. ",Ireland Sebetka
333,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,The pool arrangement with the college does not provide for an easy way to get a pass or a regular set of hours. ,,Access to a lap pool all year round.,Lucia Dhooge
334,Dari Barn,The diversity in shopping,Farmer's Market,Yes,Location within the state,,N/A,N/A,Local Diner downtown,"Clean up the older houses to bring them back to original beauty
",N/A,yes
335,Safe community for families physically. ,Owning a family business,With young kids in school and preschool ,Sometimes they say care about everyone but do not always actually do it. ,Have invested too much to just leave though have considered anyway. ,,Education system and some beliefs. ,"Education system, some beliefs and lack of support from community for small businesses. ",Better Education system and support from community for small businesses,Large Community recreation and fitness center ,Large Community recreation and fitness center  More community programs. Improved educational system ,School 
336,The community and the people,"Parks, community support, community events","Homecoming events, parades, nonprofits that help our community ","our hardworking farming community, supporting our businesses, and schools",family and small town values ,,"Not enough things to do, lack of restaurants, and town upkeep  ","lack of restaurants, things to do, and shopping","Jobs, restaurants, and community events ","Better athletic facilities and programs, new schools, shopping center new era restaurants. ","Better athletic facilities and programs, new schools, shopping center new era restaurants. ",Haidyn Hull
337,Friendliness of the people who live there.,The downtown area is particularly attractive. ,My granddaughters playing sports for Grinnell High School.,I think it has a very family orientated small town atmosphere.,I think it would be hard to find a town as friendly as Grinnell.,,Not really.,I suppose often times having to go into Des Moines to take care of business.,Possibly a Target store would be handy in that many people prefer shopping at Target in lieu  of Wal-Mart.,Possibly an additional library would be nice.,More public parks.,Katelyn VanCompernolle
338,The sense of community,The 24 hour anytime fitness gym,When I was working for a small business in Grinnell.,It seems rather political to me.,I have actually left Grinnell.,,There just isn’t much to do and very little opportunities for young adults,The lack of opportunities for young adults. Good job I do now doesn’t exist in Grinnell.,I think Grinnell needs a better ambulance service,"I really don’t know because for me, there was just not that many young people, my age and that’s not something money can buy. I also just enjoy a larger town.",More job opportunities.,Jane McFee recruited me. I am a 26 year old male who grew up in Grinnell but have moved to Tulsa Ok.
339,"Not a resident, but I visit often with my son and his family live in Grinnell. My daughter-in-law grew up in Grinnell.  They returned to Grinnell  about seven years ago. ",The positive impact would be through my family. I find a lovely community and someplace I would’ve never known about. It’s always a positive visit when I come because of all the opportunities and benefits of a small community. ,"Every visit is especially lovely not just because of the family but because of the community. With the presence to the college there are many opportunities and shared experiences. . I share those experiences with my grandchildren. Even as a visitor, I think the library is one of the most significant things in Grinnell. For a small town this is something that really stands out and they should be very proud of. Also the fact that some of the the businesses have a longtime presence in the community. I think some of those things that stability along with the school system to the success of a small town. I’m a firm believer in the power and strength of small communities.","I believe civic duty is quite apparent whenever I come to visit.  I sense and feel pride among the residence. I enjoy going out and sharing experiences within the community with my grandchildren and people  acknowledging each other and recognizing each other and showing politeness. During the derecho weather event, and then with Covid, there was very apparent sense within the community, taking care of itself, and each other. From what I’ve observed the education within the Grinnell school system is quite good, and a positive thing giving education the priority that is required for the children.",This question is not applicable to a grandma visiting family,,N/A,N/A,N/A,"N/A…. every community would love to have unlimited funds. I don’t know the  finances and plans of Grinnell. But I do see, continued improvement and obviously there is money to make some of the changes to make Grinnell a good place to live.",N/A,Katelyn Van Compernolle
340,"Friendliness, nice neighbors and mostly nice neighborhoods, pretty quiet streets, not growing too quickly, not completely overrun with franchise businesses, more amenities (art, theater, concerts, restaurants, etc.) than in many Iowa towns of similar size",All of the above,"2 Fareway stories:  1) I reached the checkout, only to find that my husband had used the last check in the checkbook.  The checker told me to take my groceres home, put the frozen things away, then come back and pay for my grocers.  Who can believe that?!?  2) I left the store without a 12-pack of water I had purchased.  Steve, who used to be a manager at the Grinnell Fareway, turned up on at my door, with the water, before I realized I didn't have it.  Again, who can believe that?  The small-town trust and good faith that these experiences demonstrate are indicative of what makes Grinnell special in a good way.","No, I really don't.  I think there are diverse values and guiding principles out there, and that those of the people with power are the most visible.  I think the closest to a common thread amongst us is the spirit of neighborliness.","Family nearby.  If I move from Grinnell, I will also be moving out of Iowa.",,My reasons for thinking about leaving Grinnell have more to do with Iowa than they do with Grinnell.,"I've been very disappointed with the end of curbside recycling and the city's focus on just facilitating people throwing out huge quantities of trash.  I know the recycling business is a mess and doesn't pay for itself, but we should be investing in our town and environment by recycling anyway.  Dealing with our waste shouldn't be a place where we focus on saving money;  it should be considered a natural expense of life, like routine maintenance on a car or a house.  Grinnell should consider businesses that could be build around recycling.  We can be part of the problem, or we can be part of the solution.  If not us, who?","A decent (diverse?) women's clothing store - with clothing for women over 35, at that!  Now that Relish is closed, another good restaurant.  Ethnic flavor is always a good thing.  More public transportation to Des Moines and Iowa City (trains!).  ","Better street paving.  Better street lights - meaning both removing the ugly, mid-century streetlights and replacing them with the reproduction streetlights that have gone into some neighborhoods;  and better sidewalk lighting while causing as little light pollution as possible.

Provide incentives and support for more individually-owned (non-franchise) businesses of all types.  Discourage franchises as much as possible.",,Grinnell Farm To Table
341,My family lives in Grinnell. ,"Grinnell offers a lot of the things I like to do. For example, I enjoy golfing at the college golf course and go to Pagliai’s down town. ",I felt connected to the community at the time of graduation. There were tons of people that came to my grad party and cared about my future. ,I think Grinnell believes in its community and helping to support each other and local businesses. I also think we have a lot of pride. ,"My family lives in Grinnell, which is why I decided to stay. ",,I have considered leaving Grinnell because of the lack of food and places to eat as well as lack of community events. ,Sometimes I find myself bored as if there isn’t anything to do. ,More food/restaurant choices would benefit me and my family as well as more athletic and recreational facilities. ,"If funds were unlimited, I would build more restaurants and athletic/recreation facilities. ",I would be more likely to move here if there were more attractions and stores. ,Kate VanCompernolle
342,"I have a decent job, and I feel that Grinnell is affordable for me to live in as a single meal.",I think the public schools and also having a hospital here in town,"Even though I graduated many years ago, I feel my public school years were when I felt the most connected to the community.",I think there is a sense of community,We have a relatively low crime rate.,,The fact there are so few single people to make connections with,"Not truly, knowing how our community spends their money. ","I think a homeless shelter, especially in the winter time would be something that we are definitely missing. Even if it was like in the lower level of the vets building.",Someplace for young people to go to. A homeless shelter.,N/A,Jane McFee recruited me. I am a single male who has lived all my life in Grinnell.
343,That I can walk or ride my bike anywhere in Grinnell and get to where I want to go,St. Mary’s Church,"The celebrations that the town offers, like the Fourth of July and jingle bell holiday",No. But I do believe the college has a little too much influence on what we should be like as a town.,That it is safe and familiar,,Moving closer to really good friends in another town,"That there’s no place for young kids to go and nothing for them to do. Also, I feel like our downtown needs more things to do similar to places like Pella or Decorah. Also, I’m frustrated with not really knowing what the city is doing when they are buy a property and then sell it.","A place for young people to go. Also, like I said before more things downtown.","A place for kids to do things, especially in the winter time when they can’t get outside",N/A,Jane McFee
344,I can get around easily in Grinnell by just walking or riding my bike,My church,Fourth of July fireworks display in the whole community gets together,No,It’s familiar and just easier to stay,,Moving closer to my grandchildren,"The dominance of the college, even though it brings young people I don’t feel like the values of the college integrate well with our community.",Places for kids of all ages to go and do things at especially in the winter,A place for kids to go and enjoy,N:A,Jane McFee. I am a retired Doctor Who has raised my children here in Grinnell.
